licentiate_id,work_id,hire_rate
478,10151,0.0
33,10181,0.0
52,10181,0.0
105,10181,0.0
281,10181,0.0
284,10181,0.0
289,10181,0.0
292,10181,0.0
294,10181,0.0
297,10181,0.0
301,10181,0.0
337,10181,0.0
338,10181,0.0
385,10181,0.0
386,10181,0.0
394,10181,0.0
395,10181,0.0
400,10181,0.0
401,10181,0.0
405,10181,0.0
421,10181,0.0
463,10181,0.0
484,10181,0.0
88,10182,0.0
281,10182,0.0
285,10182,0.0
287,10182,0.0
290,10182,0.0
292,10182,0.0
297,10182,0.0
303,10182,0.0
327,10182,0.0
334,10182,0.0
337,10182,0.0
338,10182,0.0
357,10182,0.0
385,10182,0.0
386,10182,0.0
392,10182,0.0
394,10182,0.0
395,10182,0.0
400,10182,0.0
401,10182,0.0
405,10182,0.0
421,10182,0.0
292,10190,0.0
297,10190,0.0
301,10190,0.0
364,10190,0.0
368,10190,0.0
386,10190,0.0
5,10262,0.0
297,10262,0.0
301,10262,0.0
303,10262,0.0
364,10262,0.0
407,10262,0.0
409,10262,0.0
412,10262,0.0
416,10262,0.0
420,10262,0.0
421,10262,0.0
423,10262,0.0
426,10262,0.0
431,10262,0.0
445,10262,0.0
454,10262,0.0
455,10262,0.0
460,10262,0.0
463,10262,0.0
466,10262,0.0
480,10262,0.0
483,10262,0.0
1539,10262,0.0
1649,10262,0.0
297,10286,0.0
394,10286,0.0
395,10286,0.0
405,10286,0.0
297,10291,0.0
368,10291,0.0
394,10291,0.0
395,10291,0.0
297,10302,0.0
315,10302,0.0
413,10369,0.0
297,10373,0.0
407,10373,0.0
409,10373,0.0
410,10373,0.0
463,10373,0.0
466,10373,0.0
472,10373,0.0
480,10373,0.0
297,10378,0.0
407,10406,0.0
454,10406,0.0
281,10532,0.0
297,10532,0.14285714285714285
364,10532,1.0
1057,10532,0.0
297,10677,0.0
306,10677,0.0
41,10717,0.0
59,10717,0.0
101,10717,0.0
105,10717,0.0
106,10717,0.0
167,10717,0.0
291,10717,0.0
297,10717,0.0
302,10717,0.0
303,10717,0.0
306,10717,0.0
317,10717,0.0
341,10717,0.0
363,10717,0.0
364,10717,0.0
368,10717,0.0
369,10717,0.0
373,10717,0.0
394,10717,0.0
395,10717,0.0
399,10717,0.0
516,10717,0.0
542,10717,0.0
544,10717,0.0
297,10740,0.0
369,10740,0.0
386,10740,0.0
297,10741,0.0
301,10741,0.0
364,10741,0.0
297,10754,0.0
360,10754,0.0
368,10754,0.0
392,10754,0.0
421,10754,0.0
517,10754,0.0
544,10754,0.0
292,10772,0.0
297,10772,0.0
393,10772,0.0
394,10772,0.0
395,10772,0.0
401,10772,0.0
407,10828,0.0
412,10828,0.0
297,10837,0.0
297,10858,0.0
364,10858,0.0
368,10858,0.0
375,10858,0.0
364,10861,0.0
167,10878,0.0
297,10918,0.0
11,10939,0.0
12,10939,0.0
13,10939,0.0
28,10939,0.0
52,10939,0.0
54,10939,0.0
57,10939,0.0
59,10939,0.0
101,10939,0.0
104,10939,0.0
105,10939,0.0
106,10939,0.0
135,10939,0.0
137,10939,0.0
139,10939,0.0
198,10939,0.0
201,10939,0.0
210,10939,0.0
247,10939,0.0
253,10939,0.0
274,10939,0.0
281,10939,0.0
292,10939,0.0
297,10939,0.0
298,10939,0.0
301,10939,0.0
306,10939,0.0
317,10939,0.0
326,10939,0.0
329,10939,0.0
334,10939,0.0
337,10939,0.0
354,10939,0.0
356,10939,0.0
363,10939,0.0
364,10939,0.0
367,10939,0.0
368,10939,0.0
369,10939,0.0
385,10939,0.0
386,10939,0.0
392,10939,0.0
412,10939,0.0
421,10939,0.0
463,10939,0.0
478,10939,0.0
517,10939,0.0
542,10939,0.0
543,10939,0.0
544,10939,0.0
1187,10939,0.0
281,10961,0.0
287,10961,0.0
289,10961,0.0
290,10961,0.0
291,10961,0.0
297,10961,0.0
337,10961,0.0
338,10961,0.0
341,10961,0.0
345,10961,0.0
385,10961,0.0
386,10961,0.0
394,10961,0.0
395,10961,0.0
421,10961,0.0
47,10990,0.0
198,10990,0.0
297,10990,0.0
341,10990,0.0
363,10990,0.0
364,10990,0.0
297,10999,0.0
294,11020,0.0
297,11020,0.0
265,11024,0.0
297,11024,0.0
304,11024,0.0
392,11024,0.0
68,11036,0.0
281,11044,0.0
292,11044,0.0
297,11044,0.0
298,11044,0.0
337,11044,0.0
385,11044,0.0
395,11044,0.0
407,11044,0.0
409,11044,0.0
412,11044,0.0
413,11044,0.0
421,11044,0.0
431,11044,0.0
436,11044,0.0
437,11044,0.0
443,11044,0.0
444,11044,0.0
445,11044,0.0
449,11044,0.0
450,11044,0.0
463,11044,0.0
478,11044,0.0
483,11044,0.0
484,11044,0.0
297,11058,0.0
364,11058,0.0
368,11058,0.0
542,11058,0.0
68,11078,0.0
88,11078,0.0
102,11078,0.0
105,11078,0.0
202,11078,0.0
205,11078,0.0
211,11078,0.0
281,11078,0.0
285,11078,0.0
290,11078,0.0
292,11078,0.0
297,11078,0.0
298,11078,0.0
303,11078,0.0
304,11078,0.0
306,11078,0.0
310,11078,0.0
326,11078,0.0
329,11078,0.0
330,11078,0.0
334,11078,0.0
337,11078,0.0
338,11078,0.0
356,11078,0.0
357,11078,0.0
358,11078,0.0
363,11078,0.0
364,11078,0.0
368,11078,0.0
369,11078,0.0
385,11078,0.0
386,11078,0.0
394,11078,0.0
395,11078,0.0
401,11078,0.0
421,11078,0.0
431,11078,0.0
436,11078,0.0
463,11078,0.0
478,11078,0.0
513,11078,0.0
542,11078,0.0
544,11078,0.0
297,11084,0.0
484,11084,0.0
486,11084,0.0
88,11131,0.0
101,11131,0.0
105,11131,0.0
265,11131,0.0
281,11131,0.0
285,11131,0.0
297,11131,0.0
306,11131,0.0
326,11131,0.0
338,11131,0.0
347,11131,0.0
350,11131,0.0
366,11131,0.0
383,11131,0.0
385,11131,0.0
386,11131,0.0
394,11131,0.0
395,11131,0.0
405,11131,0.0
406,11131,0.0
421,11131,0.0
544,11131,0.0
105,11152,0.0
297,11152,0.0
364,11152,0.0
385,11152,0.0
48,11174,0.0
101,11174,0.0
102,11174,0.0
105,11174,0.0
216,11174,0.0
217,11174,0.0
297,11174,0.0
334,11174,0.0
363,11174,0.0
364,11174,0.0
368,11174,0.0
373,11174,0.0
385,11174,0.0
542,11174,0.0
544,11174,0.0
105,11208,0.0
297,11208,0.0
472,11208,0.0
485,11208,0.0
297,11291,0.0
407,11291,0.0
421,11291,0.0
431,11291,0.0
433,11291,0.0
436,11291,0.0
437,11291,0.0
297,11300,0.0
363,11300,0.0
364,11300,0.0
368,11300,0.0
369,11300,0.0
370,11300,0.0
386,11300,0.0
104,11348,0.0
297,11348,0.0
494,11348,0.0
495,11348,0.0
519,11348,0.0
297,11373,0.0
385,11373,0.0
421,11373,0.0
463,11373,0.0
478,11373,0.0
483,11373,0.0
297,11380,0.0
281,11402,0.0
285,11402,0.0
292,11402,0.0
297,11402,0.0
298,11402,0.0
345,11402,0.0
350,11402,0.0
392,11402,0.0
393,11402,0.0
394,11402,0.0
395,11402,0.0
400,11402,0.0
504,11402,0.0
515,11402,0.0
516,11402,0.0
517,11402,0.0
519,11402,0.0
520,11402,0.0
522,11402,0.0
530,11402,0.0
536,11402,0.0
542,11402,0.0
544,11402,0.0
59,11414,0.0
105,11414,0.0
297,11414,0.0
384,11414,0.0
385,11414,0.0
386,11414,0.0
463,11414,0.0
297,11422,0.0
121,11444,0.0
135,11444,0.0
139,11444,0.0
168,11444,0.0
201,11444,0.0
297,11444,0.02564102564102564
301,11444,0.0
303,11444,0.0
304,11444,0.0
306,11444,0.0
318,11444,0.0
337,11444,0.0
338,11444,0.0
356,11444,0.0
363,11444,0.0
364,11444,0.0
368,11444,0.0
369,11444,0.0
385,11444,0.0
386,11444,0.0
519,11444,0.0
520,11444,0.0
541,11444,0.0
542,11444,0.0
544,11444,0.14285714285714285
1189,11444,1.0
1489,11444,0.0
1509,11444,0.0
1584,11444,0.0
1611,11444,0.0
89,11447,0.0
105,11447,0.0
281,11447,0.0
297,11447,0.0
298,11447,0.0
301,11447,0.0
326,11447,0.0
341,11447,0.0
356,11447,0.0
357,11447,0.0
358,11447,0.0
385,11447,0.0
386,11447,0.0
413,11447,0.0
297,11467,0.0
485,11467,0.0
297,11485,0.0
407,11485,0.0
413,11485,0.0
425,11485,0.0
426,11485,0.0
463,11485,0.0
466,11485,0.0
478,11485,0.0
480,11485,0.0
481,11485,0.0
483,11485,0.0
485,11485,0.0
486,11485,0.0
28,11505,0.0
47,11505,0.0
51,11505,0.0
189,11505,0.0
216,11505,0.0
217,11505,0.0
233,11505,0.0
235,11505,0.0
236,11505,0.0
297,11505,0.0
395,11505,0.0
544,11505,0.0
5,11520,0.0
105,11520,0.0
139,11520,0.0
158,11520,0.0
209,11520,0.0
290,11520,0.0
297,11520,0.0
298,11520,0.0
301,11520,0.0
302,11520,0.0
303,11520,0.0
317,11520,0.0
385,11520,0.0
