member_id,user_licentiate_id
3001086,297
2997025,297
2479312,"1182,1189,317,297,1185,139,304,322,201,323,135,303"
193896,"297,292,281,356,303"
803199,297
2974850,297
2348444,297
2430284,297
1872637,297
2619531,"297,1916"
1265123,297
1636649,297
2764384,297
2598738,297
976807,"542,297,303,302"
1028311,"394,395,393,521,297"
2696856,"291,386,297"
2373292,297
2348927,"466,407,297"
705932,297
449808,297
1518931,"291,297,363"
2857001,297
1799915,297
2036699,297
564918,"303,297"
2739951,297
2163389,297
3000989,"729,297,421"
2978843,297
384349,"303,297,1189,364"
2723509,"105,297,544,548,303"
2740990,297
2870692,"167,1361"
990059,"297,105,168"
2919403,297
2514697,297
901286,"385,52,48,297,189"
2612306,297
912972,297
2882661,297
2330083,297
1952304,"366,302,297"
2308712,297
2015731,"297,386"
2567814,297
2064996,"297,364"
1390465,297
2513033,297
551303,297
1820236,297
2276742,"297,348,978,1489"
1914363,"1153,519,297"
2377866,297
328222,297
228425,"303,297,265,106,542"
2963500,297
2593325,297
2849785,"1060,1069,291,297,1064,535,284,1019,281,1056,519,286"
659324,"297,303"
2989000,297
2301622,297
349806,297
2611754,297
2968540,297
2172278,"392,297,330,517,899,292,1936,939"
327531,297
2952770,297
2935360,297
2481350,297
755359,"368,297,363"
2855609,297
73454,297
2688453,"1935,1993,1269,292,297,928,338,326,888"
2157668,297
2996686,297
1741150,297
2753758,297
182403,297
2608205,297
2899594,297
2988658,297
2750358,297
1013552,"515,297"
2949557,297
2591297,297
2674575,297
2993272,"297,297"
2930040,297
2700271,297
2937688,297
968521,"395,297,394"
2381841,297
1202167,297
2789736,297
144321,"51,297,47"
2840324,297
2249051,297
2955390,"318,201"
1725346,"316,304,297,542,1189,297,317"
2716379,297
249924,297
2603724,"297,515,521"
627282,"59,297,104"
2993154,"297,297"
1093935,"386,297,544"
2479298,297
2998909,297
2745777,297
2391283,"392,297,393,1528"
2440893,297
2670210,297
2937314,297
2550321,297
2989507,297
2768418,"297,394"
1744132,297
1516945,297
2966927,297
1704302,297
2980035,297
383991,297
2184524,297
2756886,"297,1187,303,201,139,1189"
2721333,297
372847,297
2605871,"303,301,297"
759474,"205,210,88,297"
2660504,297
2983879,297
2992898,297
2997738,297
1186998,297
2875279,297
2879509,297
428983,297
869467,"297,28"
873480,297
1257785,"542,297"
258209,"510,297"
2907442,297
204359,"297,297,297"
2481023,"297,233,303"
2969957,297
2838688,297
2718195,297
2554868,297
2775618,297
529844,297
2899919,297
2734597,297
1237342,"297,297,297,297"
2856929,"326,542,385,334,297"
409328,"517,392"
2192533,"297,1189"
2995822,297
1088657,"386,540,385,297,494,291"
2444342,297
2911553,297
2997399,"394,401,395"
1426852,"288,297,290,356"
2976996,297
2699811,297
823775,297
566556,297
107163,"386,385,801,248,297,249,189"
793163,"297,364,375"
2682501,297
2823143,"297,463"
2808844,297
405187,"385,201,386,6,263,301,297"
431469,297
2309280,"1818,297,519,304,542"
2687375,297
2996845,297
1655425,297
2932271,297
1111155,297
1718488,297
1320340,"297,478"
296803,297
2513963,297
2916341,297
2993092,297
2715897,297
505753,297
2332736,297
210306,297
1400388,297
1069428,297
1700645,"364,368,297"
841187,297
47672,297
3001291,297
2631712,297
2993846,297
2964605,297
2195827,297
2851018,297
1168474,297
2887079,297
2741759,297
2356269,"1069,297,281,292,1935"
859731,"168,297,106"
2996317,297
2973490,297
2900982,297
2914407,"201,297,234"
2996987,297
2946192,"1414,365,368,366,1415,1413,297,1416"
124274,297
2935059,297
38036,"27,48,40,102,101,236,233"
2990717,297
2188052,297
1239556,"210,306,292,266,297,1935"
2480338,297
2973286,297
1379508,297
610774,"385,297,210,407"
2657656,368
577180,297
2965687,"303,302,301,297,368,306"
2999096,297
2585935,297
1953450,483
2992947,"297,297"
2112810,297
2678498,297
1323878,297
2713877,297
2940281,297
2206048,1794
2080655,"1545,407"
575899,297
2301593,297
2982723,297
2996465,297
2993723,297
2988520,297
2478788,"516,515,297,522,1776"
702682,"304,322,305,297"
2992120,"297,297"
2548066,368
2614239,297
2647220,297
2470668,"297,248,789"
2951526,297
2166217,297
2939909,297
2084655,"297,629,1685"
2986394,"801,297"
2969772,297
2614600,297
386942,297
2792328,297
2990643,297
1933558,297
1709184,297
1024711,"297,43"
1319739,297
2973288,297
2149782,297
2764454,297
1077283,"356,385,288,297,386,356,288,385,297,386"
1183289,"201,297,139"
135845,297
1827969,297
324955,297
1669879,"1189,303,1935,297,2026"
2448247,297
2798849,"297,386"
2667163,297
2738978,297
556722,"368,297"
2537130,297
822647,"395,394"
2894332,297
2967079,297
2332647,297
2044622,297
2351816,"860,297"
1333028,"105,297,301,303"
2979039,297
2995893,297
2759830,297
2922422,297
2809463,297
1612282,297
2945368,513
2931037,297
2790880,297
2927715,297
2954918,297
1451904,"1021,316,288,283,959,304,297,303,291,1189"
2924344,297
1146596,297
2698735,297
2413291,297
411177,297
2783846,297
1802972,297
96920,"27,297"
2661893,297
2984659,297
2993739,297
2993223,297
2881160,297
2628471,297
2999495,297
2994531,"297,297"
2972538,297
2304351,"297,28"
2520875,297
2788170,297
2518004,297
1905104,297
2456116,"201,545,297,105,315,341,1189,303,1330"
647465,297
1697208,"323,324,316,303,302,201,542,305"
652545,"105,297"
592978,297
2911124,"306,297,1187"
595394,"101,297,544"
2345027,"47,14,779,273,31,260,201,297,322,233"
2990973,297
645246,"368,297"
2490347,297
1767162,"297,1935,405,105,1993"
2973436,297
924415,297
2284235,"330,400,297"
2957978,297
2828588,"1822,1807,297"
2973088,"368,341,357,297"
376489,297
2967163,297
889471,297
2560415,297
1486144,297
2805966,297
2781300,297
1608295,297
774924,297
2746298,297
2479450,297
2985071,297
2585614,297
801111,"395,297,394,386,393,281"
1154448,"102,101,297,266,318,303"
2752235,297
2728033,297
1211369,"297,421"
3002112,297
2993865,297
2569883,297
2954564,297
2594826,297
858528,297
2741734,297
12785,"40,28,105,189,52,273"
408342,297
2969085,297
2981531,297
2363063,297
1368873,297
594905,297
2843623,297
2941881,297
2666878,297
2168155,297
654176,297
2986860,"303,542,297"
999172,"544,297"
2949543,297
2978091,297
2492095,297
891961,"286,297"
1723824,297
1162791,"297,297"
2773629,297
2943028,"297,201"
2925613,297
2256173,297
2536316,297
366614,297
2955689,297
2970790,297
2728349,"105,491,303,297"
3002717,297
1991972,297
2981076,297
2776873,297
2972286,297
2420300,297
919939,297
1637355,297
2363536,297
2849746,"297,394"
2177934,297
1069398,297
2878020,297
2771352,297
2248849,1023
2221128,"393,297"
2998166,297
2961529,297
1056043,"298,297,28,519,542,303"
2081191,"385,297"
2968908,297
559249,297
2996373,297
2140477,"297,303"
1178262,"544,297"
2817996,"334,297,336"
2988931,297
2913418,297
1277668,297
1105984,"59,297,93,92,210,105,102,201,139,317,301,198,303"
2313183,297
2727286,297
2964351,297
735023,297
2946715,297
2853633,"297,210,105"
2530844,297
2780095,297
317133,297
3001440,297
2752463,"1935,297,1993"
2056360,"958,292,1019,297,1032"
992260,"56,395,104"
1396979,297
2869015,297
2980651,297
2457910,"105,516,167,297"
721922,297
2582147,"360,1397"
2690995,297
578333,"297,495"
2996163,297
160004,"292,297"
2787978,"297,135,303,139,1182"
1110166,"297,1491,289,292"
1771507,"297,364"
2450335,297
274516,"297,358"
1901284,297
451896,"105,297,544"
2417988,"1190,315,297,938,899"
890850,297
2787520,297
2599081,297
2888265,297
2710639,297
128599,297
1473989,297
2507249,297
2992806,297
1442279,"517,297,392"
1553208,297
2858199,297
356504,297
1833870,297
2466231,297
2440833,"1189,341,303,297"
2448178,297
454863,297
1599467,297
2616132,297
2683795,297
2658320,297
2805904,"297,1184"
2986721,297
1177062,297
2525876,297
173999,297
2954712,297
2642351,297
601641,"297,132,161,139"
2587227,297
2884743,297
2993300,297
1710967,297
2801830,297
2794911,297
550033,"516,287,297,292,281"
1984589,"334,297"
2388798,297
2982731,297
2989945,297
2202163,297
1175210,"1189,297,548,1185,1196,90"
2815756,"436,1685"
2689331,297
2932429,297
2953834,297
706864,"741,273,47,297,54"
2982293,297
1245444,297
1080881,"297,105,298,210,544,167"
348194,297
2753288,297
2278489,297
2320084,"392,297,517"
1161429,"317,236,297,105,274,304,196,201,303"
2708608,297
2938746,297
681595,297
2936212,297
1467938,"338,521,515,297,326"
2297834,"911,297,1057"
2993390,297
2385013,"519,1184,366"
2855895,297
2769547,297
2996724,297
2896768,297
1400318,517
3000014,297
2886669,297
2982677,297
2980354,297
2909525,297
781540,"297,542"
2467698,297
2964646,"1228,338,1225,337,297,1222,1223"
2263599,297
2790183,297
2433873,"28,524"
2074105,"1189,297"
2919914,"777,545,386,101,59,1723,297,1184,1730"
2047975,297
2982432,297
2965787,297
2985744,"297,386,286,1391,281,911,1021"
2949929,297
2900724,297
1938306,297
2608121,"297,519,518"
1141232,297
2976718,297
2956173,297
2922978,297
2473485,297
2777943,297
2544252,297
208478,"297,295,431"
2766191,"297,1510"
1286856,"303,75,297,105,210"
1822987,"304,201,303,297"
820911,297
2998802,"284,281"
2052503,297
2931168,297
2462437,297
2665088,297
2904912,297
1015261,297
2143972,"1690,297"
287097,297
2987616,297
1897513,"297,47"
2801507,"304,306,297,48,41,236,101,832,105"
2979093,"341,1196,297,519"
2206773,"3,6"
390729,"210,297,105,168"
903273,297
583049,"135,105,167,139,297"
2990964,297
2945649,297
358006,"297,28,40,33,189"
2581656,297
2989931,297
2966741,297
1425060,297
395351,"297,135,48"
645414,"297,292"
2973397,297
2997636,297
62483,"297,330,281"
2501183,297
2288621,297
2951476,"860,297,315,304,303,1189,28,317,201"
2988934,297
2674824,297
609812,"519,516,297,542"
538600,"1187,72,116,1185,1189,303,105,167,316,297,286,1182,576,542"
2845481,"297,911,519,330"
2316029,297
2496364,297
541589,297
2075400,"860,1191,542,297,105"
2865892,466
915418,297
235071,297
3002288,297
2974455,297
1253014,"297,102,304"
1036237,"297,503"
811345,"519,1805,520,518,297"
2319592,"297,395,394"
2709715,297
2820374,297
1317242,"135,297,147"
2995617,297
2640445,297
2330627,297
1450756,297
2370596,297
805121,"386,1020,297,910,628,281"
1422751,297
835460,"292,297"
1029915,297
2982517,297
2653144,297
2973958,"78,385,297"
2983221,"297,303,1490,386,1738,1718"
2967054,297
1773239,"297,1586"
1905942,"1189,297"
1160353,297
1367057,"297,317,303"
1854663,297
2597080,297
518773,"284,281,386,341,1509,297,1489"
2986937,385
2710340,297
2913785,"297,13"
2566329,"1084,386,1083,1690,1489,1718,1716,959,958"
2982187,"27,297"
1891434,297
779137,297
49978,"401,1529,1539"
13723,297
2245995,"871,297,1593"
650240,297
2708772,"168,297,1189"
441407,297
2537233,297
990480,"150,297"
1376369,297
2975459,297
1077663,"330,297"
2646699,297
2806990,297
1144934,"542,297,303"
2151461,"306,297"
2051479,"297,297"
2797614,297
724063,297
1379289,297
2314351,297
2177750,297
1258249,297
2959953,297
2519192,"1193,297,543,303"
2402028,"297,201,303,139,318"
2734945,297
287136,297
1883229,297
2844854,297
2242926,297
2745607,297
2503642,297
2481898,297
2847685,297
2146413,"105,518,297,290,1738,386"
2974784,297
2313480,"297,168,584"
2971429,297
1575143,297
2988599,297
2353239,"1854,491"
247441,297
2458309,385
2969771,297
854224,297
2475866,297
2678256,297
2946425,297
27591,297
2986789,"297,297"
202026,297
2153074,297
923707,297
110327,297
2597603,"210,297,466,483"
2999950,297
2999873,297
2405818,297
2758502,297
2931586,297
1494389,297
1273386,297
2951180,297
2970017,297
2989994,"1189,297"
2960375,297
2462546,297
2990453,297
363344,297
2721101,297
2998598,297
2022736,297
614503,"306,542,297,544"
172062,297
2790177,297
2853378,"542,297"
1034963,297
2994291,297
2874138,297
2189590,297
155895,297
2586617,"297,386,1019"
3001398,297
2644321,297
1708610,297
224071,297
2612864,297
1229027,297
2746059,297
508993,368
987344,"368,297"
1158984,"297,386"
2652691,"329,297"
2543203,297
1316509,297
2959700,297
2520457,"943,979,297"
2456854,297
2423652,297
736026,297
1904215,297
2426664,"326,297,338,1269,385"
2605444,297
3001062,297
2280235,297
2416504,"139,135,297"
1503419,"297,542"
2969993,297
2999535,297
2633112,297
2869610,297
2174968,"297,489"
1746655,297
2977455,297
2724293,297
2981494,297
3001489,297
754761,297
299643,297
2993903,"519,297"
2453884,297
803972,"483,517,401"
2982528,"297,28,1529,334,336"
3002176,297
2940335,297
1677212,"297,303,385,259,302,105,279,341,278,210"
2035635,"297,1184"
2099876,297
232121,"291,385,297,281"
1648435,297
2855415,297
2334727,"385,303,297"
2557067,297
2946459,297
2991884,"297,297"
2947350,297
948897,"385,297,281"
2094607,"360,297,105"
2913115,297
255999,297
2706012,297
2786757,297
2520797,297
2999669,297
2986497,297
2995003,297
2464661,297
2186842,"1189,297"
459768,297
2990616,297
1879073,297
2886611,297
3002170,297
1306118,297
2822158,297
2660272,297
1380929,"297,297,297"
2301288,"518,297"
2529389,189
2870072,297
879097,"366,297"
1800055,297
1313367,297
1668185,"385,1069,1184"
2276043,297
2099870,297
2991148,297
1561247,297
1676185,"302,301,341,494"
2368840,297
225800,297
2584576,297
1265582,105
3002353,297
2923484,297
2489658,297
593840,"366,292"
1989742,297
2968382,297
2833508,"292,297,1023"
2990833,"368,297"
2442394,297
2196901,297
2759369,297
2966735,297
511725,"210,542,297"
1339983,"28,297,33,41"
2418955,"297,542,303"
2647600,"297,368,699"
2976765,297
2665615,"394,395"
2759545,"139,196,105,201,297"
548048,"301,297,364"
2032047,"297,536,368"
2805350,297
2099416,"1937,386,297"
1518325,297
2391448,"281,1905,297"
579793,"297,298"
1490971,"297,303,368,322,524,369"
1806258,297
2420502,297
1543588,"281,297"
2523151,"297,1528,350,1069,354,394,979"
2687687,"297,386"
2633273,297
552577,"297,27,47,40"
2977012,"1861,297,1182"
2827602,297
2966574,297
2958965,"1586,1620,297"
2939360,297
94271,366
2910417,297
1541949,"519,297,495,516"
2923784,297
1389819,297
2484223,"297,297,297"
2778144,297
1780599,"369,544,368"
2800775,"297,368"
2810562,297
2924822,297
848544,"490,297,519"
1975325,297
1997764,"1187,297"
2819011,297
1068332,"297,303"
384441,"167,542,297,544,303"
2999866,297
2992715,297
2954826,297
451930,"297,303"
2924327,297
2982576,"216,201,297,217,47,236"
142,297
2754985,"1187,297"
2418847,"298,1194,1182,297,543,301,542,630"
2956215,297
2817990,297
1880830,"356,297,386"
539965,297
2901179,297
611863,297
2961030,297
2230396,"542,105,210,297"
2997607,297
1316575,297
211368,297
1689392,297
3000865,"139,306,303,1189,317,345,1193,297,201"
2980358,297
2408902,"297,363,364"
662106,297
2430265,297
2809038,297
2536380,297
2544919,297
1790115,297
2977507,297
2485680,297
2605596,297
2990590,"297,303"
2996050,297
2668326,297
2701157,297
1968594,"366,297,365"
243872,297
2786030,297
1650331,297
761519,"394,386,297,292,395"
2853581,297
2192569,"584,1182,105,1189,303,297,101"
90952,297
258427,297
2996838,297
1908365,"386,297,385"
2992304,297
1150546,"519,297,394,395,405"
1129126,297
2920517,297
10348,297
919660,"201,139"
250029,297
2862469,297
2325564,297
2850293,297
1924117,"386,999,297,1184,519,1069"
1396489,"297,102,93,341,545,196,1690"
2592176,297
2967283,297
2976615,"1187,297,201,303,104,59"
1281372,"303,297"
2881258,297
2878109,297
2571174,297
438211,297
2994229,"544,297,368"
2906563,297
2702075,"297,48,385"
2210549,"297,1189"
2968486,297
2505813,297
2708030,297
2470192,297
443655,297
480625,"292,297,291"
2847342,297
3000385,297
2552569,297
1124477,297
485466,297
2999464,297
1177612,"297,542"
2835198,297
1088111,"297,519"
931236,297
2991825,"297,297"
2995910,297
3002477,297
2971278,297
2675525,297
2875825,297
490652,297
2993558,"1690,330,297,1324,1331"
2154186,297
2942381,"330,338,337,1223,1213,1254,297"
2995235,297
2988192,"542,1189"
2220502,297
2333723,297
1273148,297
2859264,297
2783756,297
2960706,297
2810519,297
1043972,"266,217,28,48,297,216,222,50,233,47,106"
2708753,297
1852031,297
2794086,297
1710257,297
1110595,297
808563,297
2996181,297
2954233,297
2846268,"28,297"
2478611,297
772668,"395,394"
2504907,297
2804509,297
1947411,"297,326"
2935813,297
2811234,297
2826844,297
1112712,297
1702192,297
2535188,"1182,544,297"
2938728,297
2508447,297
2215240,297
2944159,297
914163,"384,297,378"
831382,297
311187,"297,483"
569307,297
1860093,297
1025016,"303,165,73,297,105,1182,170"
2528230,297
647989,"96,297"
310684,"297,366"
2578860,297
2594970,297
2992321,"297,297"
2978618,297
2923638,297
2276644,"297,1184"
993967,"338,297,292"
2975506,297
2983147,297
2312474,297
2353335,297
255300,"297,105"
2975464,297
2411307,297
850138,"368,297"
2994241,297
2952903,"516,516,297,297"
2802815,297
2297718,"483,297,202,205"
1821354,"196,303,297,52,322,814,105"
2484025,297
2232391,167
347725,"544,306,167,542,168,297"
2987197,297
2985442,"1937,297,1505,385,1500,288,1502,283"
2993995,297
2904840,297
1525085,297
668283,297
2994886,297
2563428,297
2999419,297
2858238,297
255852,297
